Date,Close/Last,Volume,Open,High,Low
12/7/2020,$208.91 ,718658,$205 ,$209.19 ,$202.56 
12/4/2020,$205.26 ,820083,$208 ,$210.88 ,$204.50 
12/3/2020,$207.58 ,707098,$209.68 ,$212.71 ,$207.01 
12/2/2020,$210.74 ,638131,$212.05 ,$212.49 ,$208.16 
12/1/2020,$213.02 ,669073,$216.14 ,$217.27 ,$211.20 
11/30/2020,$215.60 ,4147125,$221.40 ,$221.50 ,$210.47 
11/27/2020,$221.40 ,637480,$219.72 ,$225.34 ,$218.51 
11/25/2020,$216.51 ,900607,$213.84 ,$220.94 ,$213.70 
11/24/2020,$213.84 ,1191028,$219.63 ,$219.98 ,$211.53 
11/23/2020,$219.63 ,912931,$224.67 ,$227.03 ,$216 
11/20/2020,$222.97 ,802268,$217.37 ,$225.20 ,$216.40 
11/19/2020,$216.75 ,657299,$213.28 ,$218.98 ,$211.90 
11/18/2020,$211.94 ,722121,$211.63 ,$213.79 ,$209.63 
11/17/2020,$210.09 ,648919,$211.88 ,$216.91 ,$208.93 
11/16/2020,$213.19 ,741021,$216.50 ,$216.55 ,$211.42 
11/13/2020,$215.97 ,633076,$220.58 ,$222.21 ,$215.33 
11/12/2020,$219.78 ,529957,$224.30 ,$226.10 ,$218 
11/11/2020,$225.29 ,616617,$220.74 ,$226.60 ,$219.12 
11/10/2020,$217.95 ,1027746,$221.02 ,$223 ,$212.30 
11/9/2020,$220.54 ,1113273,$233.04 ,$233.78 ,$216.16 
11/6/2020,$233.04 ,422204,$232.62 ,$234.55 ,$231.03 
11/5/2020,$230.73 ,602878,$228.23 ,$233.44 ,$226.86 
11/4/2020,$223.50 ,717837,$219.34 ,$224.95 ,$213.01 
11/3/2020,$221.54 ,639318,$215.99 ,$222.20 ,$213.95 
11/2/2020,$212.57 ,680780,$212.37 ,$215.09 ,$208.58 
10/30/2020,$210.15 ,813799,$213.99 ,$217.61 ,$204.24 
10/29/2020,$216.57 ,950691,$218.90 ,$220.88 ,$211.43 
10/28/2020,$217.11 ,1432739,$205.87 ,$218.63 ,$202.02 
10/27/2020,$207.71 ,731822,$211.88 ,$213.83 ,$206.61 
10/26/2020,$210.40 ,477632,$209.20 ,$211.72 ,$206.04 
10/23/2020,$212.04 ,591641,$210.07 ,$212.74 ,$206.95 
10/22/2020,$209.34 ,708155,$205.66 ,$210.01 ,$203.40 
10/21/2020,$205.35 ,790597,$212.85 ,$215.98 ,$205.18 
10/20/2020,$211.87 ,726898,$210.59 ,$215.57 ,$209.98 
10/19/2020,$210.13 ,748580,$208.12 ,$210.75 ,$206.93 
10/16/2020,$208.21 ,456402,$212.71 ,$213.99 ,$207.74 
10/15/2020,$209.79 ,640441,$200.67 ,$210.99 ,$198.85 
10/14/2020,$203 ,387455,$202.96 ,$205.54 ,$201.29 
10/13/2020,$201.54 ,674030,$203.43 ,$205.12 ,$199.27 
10/12/2020,$203.99 ,621718,$206.65 ,$207.75 ,$200.38 
10/9/2020,$205.53 ,695211,$205.16 ,$208.74 ,$205.16 
10/8/2020,$204.50 ,743557,$209.99 ,$210.58 ,$203.62 
10/7/2020,$207.04 ,729551,$212.55 ,$213.91 ,$205.16 
10/6/2020,$207.37 ,1168497,$211.05 ,$213.23 ,$204.89 
10/5/2020,$207.86 ,805326,$199.25 ,$208.26 ,$198.53 
10/2/2020,$197.75 ,608246,$191.27 ,$198.77 ,$190.10 
10/1/2020,$196.16 ,715051,$195.50 ,$196.95 ,$191.74 
9/30/2020,$193.64 ,892453,$187.76 ,$194.17 ,$187.76 
9/29/2020,$188.14 ,613742,$190.98 ,$192.28 ,$187.73 
9/28/2020,$190.18 ,761308,$186.88 ,$191.43 ,$186.11 
9/25/2020,$180.66 ,607749,$178.07 ,$182.03 ,$178.07 
9/24/2020,$178.07 ,601442,$175.53 ,$181.45 ,$173.80 
9/23/2020,$175.76 ,611563,$182.23 ,$185 ,$175.65 
9/22/2020,$182.90 ,526751,$182.55 ,$183.42 ,$179.51 
9/21/2020,$181.23 ,559971,$180 ,$182.37 ,$177.56 
9/18/2020,$182.68 ,987257,$185.56 ,$186.61 ,$181.12 
9/17/2020,$184.09 ,641485,$183.13 ,$186.43 ,$181.47 
9/16/2020,$186.52 ,518690,$187.17 ,$188.79 ,$185.55 
9/15/2020,$187.11 ,393546,$187.29 ,$187.70 ,$184.75 
9/14/2020,$184.10 ,449914,$181.82 ,$184.23 ,$181.16 
9/11/2020,$178.41 ,507774,$182.70 ,$184.41 ,$176.28 
9/10/2020,$180.03 ,446521,$184.45 ,$185.50 ,$179.46 
9/9/2020,$183.95 ,587852,$178.07 ,$185.29 ,$178.04 
9/8/2020,$174.80 ,752550,$176.40 ,$181.39 ,$173.44 
9/4/2020,$178.51 ,985590,$178.78 ,$179.83 ,$169.34 
9/3/2020,$178.07 ,1005521,$189 ,$189.36 ,$175.82 
9/2/2020,$191.48 ,674328,$193.30 ,$194 ,$187.91 
9/1/2020,$193.25 ,506977,$189.71 ,$194.35 ,$188.18 
8/31/2020,$189.98 ,630151,$190.25 ,$191.42 ,$188.53 
8/28/2020,$189.02 ,556753,$188.96 ,$192.38 ,$187.29 
8/27/2020,$186.65 ,810026,$190.47 ,$191.29 ,$184.47 
8/26/2020,$190.82 ,783640,$188 ,$192.28 ,$187.20 
8/25/2020,$186.37 ,462538,$188.44 ,$188.50 ,$184.53 
8/24/2020,$188.13 ,922942,$189.23 ,$192.53 ,$185.55 
8/21/2020,$186.71 ,720290,$183.27 ,$188.55 ,$182.47 
8/20/2020,$182.45 ,583209,$180 ,$184.23 ,$179.49 
8/19/2020,$181.20 ,565107,$180.15 ,$183.37 ,$180.06 
8/18/2020,$181.68 ,771065,$181.63 ,$185.55 ,$180.50 
8/17/2020,$182.20 ,818043,$179.75 ,$182.57 ,$177.80 
8/14/2020,$175.35 ,662449,$174.11 ,$176.12 ,$172.89 
8/13/2020,$174.88 ,641740,$171.30 ,$176.76 ,$170.70 
8/12/2020,$171.30 ,701487,$166.50 ,$172.36 ,$166 
8/11/2020,$164.86 ,1011803,$168.50 ,$169.66 ,$164.24 
